EVENT,URL,DATE,LOCATION
UFC Fight Night: Perez vs. Taira,http://ufcstats.com/event-details/9c5828c6fd9dc948,"June 15, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Cannonier vs. Imavov,http://ufcstats.com/event-details/cba3a2dfbc06ce79,"June 08, 2024","Louisville, Kentucky, USA"
UFC 302: Makhachev vs. Poirier,http://ufcstats.com/event-details/6e4acc2c115215b5,"June 01, 2024","Newark, New Jersey, USA"
UFC Fight Night: Barboza vs. Murphy,http://ufcstats.com/event-details/46baf0f57edfa4df,"May 18, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Lewis vs. Nascimento,http://ufcstats.com/event-details/5dfe71ade71f3a4b,"May 11, 2024","St. Louis, Missouri, USA"
UFC 301: Pantoja vs. Erceg,http://ufcstats.com/event-details/981ab7a0576f76a0,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Nicolau vs. Perez,http://ufcstats.com/event-details/a16ce18149021139,"April 27, 2024","Las Vegas, Nevada, USA"
UFC 300: Pereira vs. Hill,http://ufcstats.com/event-details/6750e338922a099d,"April 13, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Allen vs. Curtis 2,http://ufcstats.com/event-details/899eaba48fa864a6,"April 06, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Blanchfield vs. Fiorot,http://ufcstats.com/event-details/dba230fe33011201,"March 30, 2024","Atlantic City, New Jersey, USA"
UFC Fight Night: Ribas vs. Namajunas,http://ufcstats.com/event-details/79ff6545b0abc685,"March 23, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Tuivasa vs. Tybura,http://ufcstats.com/event-details/c398235fcaf8d71d,"March 16, 2024","Las Vegas, Nevada, USA"
UFC 299: O'Malley vs. Vera 2,http://ufcstats.com/event-details/a9df5ae20a97b090,"March 09, 2024","Miami, Florida, USA"
UFC Fight Night: Rozenstruik vs. Gaziev,http://ufcstats.com/event-details/e4a9dbade7c7e1a7,"March 02, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Moreno vs. Royval 2,http://ufcstats.com/event-details/902ab9197b83d0db,"February 24, 2024","Mexico City, Distrito Federal, Mexico"
UFC 298: Volkanovski vs. Topuria,http://ufcstats.com/event-details/dab0e6cb8c932162,"February 17, 2024","Anaheim, California, USA"
UFC Fight Night: Hermansson vs. Pyfer,http://ufcstats.com/event-details/eaea0fc7b76525a8,"February 10, 2024","Las Vegas, Nevada, USA"
UFC Fight Night: Dolidze vs. Imavov,http://ufcstats.com/event-details/cce79e827569f26e,"February 03, 2024","Las Vegas, Nevada, USA"
UFC 297: Strickland vs. Du Plessis,http://ufcstats.com/event-details/bd85ca0bb4f26cfc,"January 20, 2024","Toronto, Ontario, Canada"
UFC Fight Night: Ankalaev vs. Walker 2,http://ufcstats.com/event-details/010986ee359fb863,"January 13, 2024","Las Vegas, Nevada, USA"
UFC 296: Edwards vs. Covington,http://ufcstats.com/event-details/a8e8587a06e73c87,"December 16, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Song vs. Gutierrez,http://ufcstats.com/event-details/5ef0088c1b19beeb,"December 09, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Dariush vs. Tsarukyan,http://ufcstats.com/event-details/53e4e21f4c688801,"December 02, 2023","Austin, Texas, USA"
UFC Fight Night: Allen vs. Craig,http://ufcstats.com/event-details/3feed7d02711d8b7,"November 18, 2023","Las Vegas, Nevada, USA"
UFC 295: Prochazka vs. Pereira,http://ufcstats.com/event-details/5a558ba1ff5e9121,"November 11, 2023","New York City, New York, USA"
UFC Fight Night: Almeida vs. Lewis,http://ufcstats.com/event-details/7c4ec656d8fcb867,"November 04, 2023","Sao Paulo, Sao Paulo, Brazil"
UFC 294: Makhachev vs. Volkanovski 2,http://ufcstats.com/event-details/13a0fb8fbdafb54f,"October 21, 2023","Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Yusuff vs. Barboza,http://ufcstats.com/event-details/f3a078277b3b8ff4,"October 14, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Dawson vs. Green,http://ufcstats.com/event-details/c8a49ff2acb6f3c5,"October 07, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Fiziev vs. Gamrot,http://ufcstats.com/event-details/c945adc22c2bfe8f,"September 23, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Grasso vs. Shevchenko 2,http://ufcstats.com/event-details/8fa2b06572365321,"September 16, 2023","Las Vegas, Nevada, USA"
UFC 293: Adesanya vs. Strickland,http://ufcstats.com/event-details/ece280745f8727b8,"September 09, 2023","Sydney, New South Wales, Australia"
UFC Fight Night: Gane vs. Spivac,http://ufcstats.com/event-details/ef61d9f5176b3200,"September 02, 2023","Paris, Ile-de-France, France"
UFC Fight Night: Holloway vs. The Korean Zombie,http://ufcstats.com/event-details/89a407032911e27e,"August 26, 2023","Kallang, Singapore"
UFC 292: Sterling vs. O'Malley,http://ufcstats.com/event-details/2719f300b0439039,"August 19, 2023","Boston, Massachusetts, USA"
UFC Fight Night: Luque vs. Dos Anjos,http://ufcstats.com/event-details/d2fa318f34d0aadc,"August 12, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Sandhagen vs. Font,http://ufcstats.com/event-details/6f81b6de2557739a,"August 05, 2023","Nashville, Tennessee, USA"
UFC 291: Poirier vs. Gaethje 2,http://ufcstats.com/event-details/ccd58ff71e260ed5,"July 29, 2023","Salt Lake City, Utah, USA"
UFC Fight Night: Aspinall vs. Tybura,http://ufcstats.com/event-details/1174782eacde9b0c,"July 22, 2023","London, England, United Kingdom"
UFC Fight Night: Holm vs. Bueno Silva,http://ufcstats.com/event-details/c9885b1b7c7055a0,"July 15, 2023","Las Vegas, Nevada, USA"
UFC 290: Volkanovski vs. Rodriguez,http://ufcstats.com/event-details/6085ceb59087514b,"July 08, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Strickland vs. Magomedov,http://ufcstats.com/event-details/e9e1acc96536bb4f,"July 01, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Emmett vs. Topuria,http://ufcstats.com/event-details/a780d16cf7eed44d,"June 24, 2023","Jacksonville, Florida, USA"
UFC Fight Night: Vettori vs. Cannonier,http://ufcstats.com/event-details/b9415726dc3ec526,"June 17, 2023","Las Vegas, Nevada, USA"
UFC 289: Nunes vs. Aldana,http://ufcstats.com/event-details/b6c6d1731ff00eeb,"June 10, 2023","Vancouver, British Columbia, Canada"
UFC Fight Night: Kara-France vs. Albazi,http://ufcstats.com/event-details/7abe471b61725980,"June 03, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Dern vs. Hill,http://ufcstats.com/event-details/6f812143641ceff8,"May 20, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Rozenstruik vs. Almeida,http://ufcstats.com/event-details/901cddcbfa079097,"May 13, 2023","Charlotte, North Carolina, USA"
UFC 288: Sterling vs. Cejudo,http://ufcstats.com/event-details/3c6976f8182d9527,"May 06, 2023","Newark, New Jersey, USA"
UFC Fight Night: Song vs. Simon,http://ufcstats.com/event-details/51b1e2fd9872005b,"April 29, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Pavlovich vs. Blaydes,http://ufcstats.com/event-details/6fb1ba67bef41b37,"April 22, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Holloway vs. Allen,http://ufcstats.com/event-details/15b1b21cd743d652,"April 15, 2023","Kansas City, Missouri, USA"
UFC 287: Pereira vs. Adesanya 2,http://ufcstats.com/event-details/3dc3022232b79c7a,"April 08, 2023","Miami, Florida, USA"
UFC Fight Night: Vera vs. Sandhagen,http://ufcstats.com/event-details/aec273fcb765330d,"March 25, 2023","San Antonio, Texas, USA"
UFC 286: Edwards vs. Usman 3,http://ufcstats.com/event-details/e4bb7e483c4ad318,"March 18, 2023","London, England, United Kingdom"
UFC Fight Night: Yan vs. Dvalishvili,http://ufcstats.com/event-details/35080a7f406f9ab3,"March 11, 2023","Las Vegas, Nevada, USA"
UFC 285: Jones vs. Gane,http://ufcstats.com/event-details/1ccff7f0cfdf85eb,"March 04, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Muniz vs. Allen,http://ufcstats.com/event-details/806975e1b4f47b27,"February 25, 2023","Las Vegas, Nevada, USA"
UFC Fight Night: Andrade vs. Blanchfield,http://ufcstats.com/event-details/f21a3d68fb9df387,"February 18, 2023","Las Vegas, Nevada, USA"
UFC 284: Makhachev vs. Volkanovski,http://ufcstats.com/event-details/01dd4cdc2446f665,"February 11, 2023","Perth, Western Australia, Australia"
UFC Fight Night: Lewis vs. Spivac,http://ufcstats.com/event-details/d26394fc0e8e880a,"February 04, 2023","Las Vegas, Nevada, USA"
UFC 283: Teixeira vs. Hill,http://ufcstats.com/event-details/5717efc6f271cd52,"January 21, 2023","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Strickland vs. Imavov,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9,"January 14, 2023","Las Vegas, Nevada, USA"
